Number of threads; Measure; Time elapsed [s]
1;1;0.08 
1;2;0.08 
1;3;0.08 
1;4;0.08 
1;5;0.08 
2;1;0.04 
2;2;0.04 
2;3;0.04 
2;4;0.04 
2;5;0.04 
3;1;0.02 
3;2;0.02 
3;3;0.02 
3;4;0.02 
3;5;0.02 
4;1;0.02 
4;2;0.02 
4;3;0.02 
4;4;0.02 
4;5;0.02 
5;1;0.01 
5;2;0.01 
5;3;0.01 
5;4;0.01 
5;5;0.01 
6;1;0.01 
6;2;0.01 
6;3;0.01 
6;4;0.01 
6;5;0.01 
7;1;0.01 
7;2;0.01 
7;3;0.01 
7;4;0.01 
7;5;0.01 
8;1;0.01 
8;2;0.01 
8;3;0.01 
8;4;0.01 
8;5;0.01 
9;1;0.00 
9;2;0.00 
9;3;0.00 
9;4;0.00 
9;5;0.00 
10;1;0.00 
10;2;0.00 
10;3;0.00 
10;4;0.00 
10;5;0.00 
11;1;0.00 
11;2;0.00 
11;3;0.00 
11;4;0.00 
11;5;0.00 
12;1;0.00 
12;2;0.00 
12;3;0.00 
12;4;0.00 
12;5;0.00 
13;1;0.00 
13;2;0.00 
13;3;0.00 
13;4;0.00 
13;5;0.00 
14;1;0.00 
14;2;0.00 
14;3;0.00 
14;4;0.00 
14;5;0.00 
15;1;0.00 
15;2;0.00 
15;3;0.00 
15;4;0.00 
15;5;0.00 
16;1;0.00 
16;2;0.00 
16;3;0.00 
16;4;0.00 
16;5;0.00 
